Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
W52A|IRISDMC|N4|35.0935|-83.9277|7.620357533197941|157.36972769924358|519|Murphy, NC, USA
GMG|IRISDMC|ET|34.863|-84.67|7.649592541208325|162.26178543177627|1097|Grassy Mountain,GA
P57A|IRISDMC|N4|39.4835|-78.0126|7.666857807742984|107.47052718249167|191|Homestead Farm, Martinsburg, WV, USA
HHAR|IRISDMC|AG|36.282|-93.94|7.722491543059781|-137.73664529631083|421|Hobbs,AR
X48A|IRISDMC|N4|34.4517|-87.0452|7.742402972398219|177.1961558768919|180|Hartselle, AL, USA
M57A|IRISDMC|N4|41.3372|-77.128|7.780510707557457|92.78013976026752|319|Sunshine Farm, Cogan Station, PA, USA
FPAL|IRISDMC|ET|34.54|-85.611|7.78779787352688|168.42139112657654|556|Fort Payne,AL
CMGA|IRISDMC|ET|34.629|-85.034|7.799541855937638|164.85785888626006|478|Chestnut Mtn,GA
U38B|IRISDMC|N4|36.4394|-94.3857|7.828933392268943|-134.9484388197526|389|Mount Pleasant Farm, Gravette, AR, USA
WHAR|IRISDMC|AG|35.29|-92.289|7.838076084292568|-150.04174592733125|184|Woolly Hollow State Park,AR
PSMA|IRISDMC|PE|39.84301|-77.543404|7.866216690304835|103.99916726412542|299|PSU Mont Alto Campus, Mont Alto, PA
PECO|IRISDMC|WU|43.9341|-76.99395|7.868971110705565|73.61482326018532|92|Z
X51A|IRISDMC|N4|34.5658|-84.8574|7.896059458003833|163.93692622703097|214|Calhoun, GA, USA
S57A|IRISDMC|N4|37.7605|-78.9536|7.900065749931967|121.22886576642763|264|Dark Hallow, Roseland, VA, USA
PALB|IRISDMC|PE|40.458912|-77.167831|7.946198643545165|99.09190747801088|145|Little Buffalo State Park, Newport, PA
BGNE|IRISDMC|N4|41.4083|-98.1502|7.970247172314742|-92.02449048020605|573|Belgrade, NE, USA
V55A|IRISDMC|N4|35.8518|-81.2149|7.994148347608192|140.33059874903273|313|Morning Dew, Taylorsville, NC, USA
PADC|IRISDMC|PE|40.20529|-77.20025|7.995892362391771|100.89429668949741|164|Dickinson College, Carlisle, PA
U56A|IRISDMC|N4|36.3472|-80.3829|8.023871735152964|134.33822468472903|363|King, NC, USA
KAPO|IRISDMC|CN|49.451|-82.5077|8.051826404546503|23.837421588477163|221|Kapuskasing, ON, CA
PAMP|IRISDMC|PE|41.805901|-76.668892|8.055443362119375|89.06278454082417|348|Mt. Pisgah State Park, Troy, PA
PLVO|IRISDMC|WU|45.03968|-77.07527|8.063958352220322|65.74492490828513|270|Z
K57A|IRISDMC|N4|42.7313|-76.5163|8.118257323909814|82.44708271396341|408|Scipio Center
PEMO|IRISDMC|WU|45.67733|-77.24665|8.161816326708053|61.19802142002241|154|Z
N58A|IRISDMC|N4|40.8396|-76.7158|8.183241416097802|95.85314656789244|200|Sunbury, PA, USA
T57A|IRISDMC|N4|36.9983|-79.2538|8.198046577598289|126.52357641396407|230|Hurt, VA, USA
CHRO|IRISDMC|CN|46.0376|-77.3794|8.217484381718961|58.61615948211541|180|Chalk River, ON, CA
KGNO|IRISDMC|CN|44.2272|-76.4934|8.27333175761689|71.99491204166411|89|Kingston, ON, CA
UALR|IRISDMC|NM|34.7751|-92.3429|8.319337354604842|-151.3822731915242|138|University of Arkansas, Little Rock
