Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
D60A|IRISDMC|TA|46.913898|-70.923698|13.082040245703329|61.33510957073285|40|Saint Jean D'Orleans, QC, CAN
ABTX|IRISDMC|TA|32.623798|-99.643097|13.128948796819321|-130.59475838849218|502|Abilene, Hawley, TX, USA
656A|IRISDMC|TA|29.3689|-82.534798|13.160275464025137|159.32966271148828|28|Willston, FL, USA
L65A|IRISDMC|TA|42.029499|-70.052803|13.202374265437175|83.10803906311114|50|Cape Cod National Seashore, MA, USA
M66A|IRISDMC|TA|41.258999|-70.1353|13.230417868579305|86.48713059463286|9|Nantucket, MA, USA
E61A|IRISDMC|TA|46.431198|-70.488998|13.240813051385466|63.727785950291576|527|Lac Etchemin, QC, CAN
H63A|IRISDMC|TA|44.661598|-70.035301|13.241447919727792|71.5829581710516|109|New Sharon, ME, USA
DGMT|IRISDMC|US|48.4702|-104.1959|13.288041160311883|-54.387729552265945|646|Dagmar, Montana, USA
I64A|IRISDMC|TA|43.919701|-69.634697|13.470142578130378|74.8813662409202|17|Boothbay, ME, USA
Q24A|IRISDMC|TA|38.9641|-105.1492|13.473617178531564|-96.4556981380449|2775|Divide, CO, USA
F62A|IRISDMC|TA|45.896801|-69.9664|13.476575895283366|66.3285767269377|331|Pittston Farm, Pittston Academy Grant, ME, USA
658A|IRISDMC|TA|29.422001|-81.257797|13.482060978487738|154.70003496258076|11|Bunnell, FL, USA
HKT|IRISDMC|IU|29.9618|-95.8384|13.497741731681145|-148.84394664378348|56|Hockley, Texas
435B|IRISDMC|TA|30.7827|-97.584999|13.527207007047625|-141.49638793905658|248|Jarrell, TX, USA
ISCO|IRISDMC|US|39.7997|-105.6134|13.588159855856956|-92.59922687650395|2743|Idaho Springs, Colorado, USA
G63A|IRISDMC|TA|45.1147|-69.618599|13.588981865997871|69.7968359501902|363|Kingsbury, ME, USA
T25A|IRISDMC|TA|37.138802|-104.410797|13.601180495261968|-104.62792295928169|2017|Trinidad, CO, USA
N23A|IRISDMC|TA|40.894699|-105.944|13.605743442585442|-87.81901712999195|2458|Red Feather Lakes, CO, USA
D61A|IRISDMC|TA|47.202202|-70.186798|13.645957918467703|60.7686619789081|146|St Aubert, Comte d'Islet, QC, CAN
H64A|IRISDMC|TA|44.641201|-69.220299|13.816310045579607|71.91695370860252|158|Troy, ME, USA
PKME|IRISDMC|US|45.2644|-69.2917|13.8374364261026|69.30202760040139|108.5|Peaks-Kenny State Park, Maine, USA
K22A|IRISDMC|TA|42.6507|-106.524002|13.841467388280726|-80.25554682447184|1686|Casper, WY, USA
E62A|IRISDMC|TA|46.620098|-69.522697|13.931539032516|63.62426674580684|356|Clayton Lake, ME, USA
LAO|IRISDMC|US|46.6885|-106.2231|14.010078922129935|-63.41153646583968|902|LASA Array, Montana, USA
F63A|IRISDMC|TA|45.702999|-69.102898|14.034162853924679|67.58393760269577|386|Nahmakanta, Browneville, ME, USA
MSTX|IRISDMC|TA|33.969601|-102.7724|14.13304034525777|-118.8364901496771|1167|Muleshoe, TX, USA
SDCO|IRISDMC|US|37.7456|-105.5012|14.1498951330787|-100.85838328091546|2569|Great Sand Dunes National Park, Colorado, USA
G64A|IRISDMC|TA|45.252701|-68.755798|14.20985169119235|69.5545147932633|165|Maxfield, ME, USA
D62A|IRISDMC|TA|47.081902|-69.050102|14.357573920598524|62.11373675250488|189|Allapoint, Allagash, ME, USA
H65A|IRISDMC|TA|44.696098|-68.246902|14.51072756161407|71.93631993432003|98|Eastbrook, ME, USA
F64A|IRISDMC|TA|45.8633|-68.349602|14.578458878842856|67.28629445572503|179|Sherman, ME, USA
E63A|IRISDMC|TA|46.422001|-68.462303|14.601246669159792|65.04846546003435|238|Oxbow, ME, USA
DWPF|IRISDMC|IU|28.1103|-81.4327|14.65939611779602|157.16319905602938|30|Disney Wilderness Preserve, Florida, USA
859A|IRISDMC|TA|28.0592|-80.898399|14.867374270930371|155.49098658089304|13|Kempfer Cattle CO., St. Cloud, FL, USA
JCT|IRISDMC|US|30.4794|-99.8022|14.868525071254425|-135.82018701537194|591|Junction, Texas, USA
D63A|IRISDMC|TA|47.036999|-68.106598|14.97058985976191|62.89753100076397|256|Stockholm, ME, USA
E64A|IRISDMC|TA|46.4184|-67.828499|15.029453560362255|65.38834191987988|190|Bridgewater, ME, USA
G65A|IRISDMC|TA|45.200199|-67.563202|15.038377626408577|70.13967493047389|78|Princeton, ME, USA
S22A|IRISDMC|TA|37.746101|-106.8293|15.124285905685928|-99.30751223749353|2626|4UR Ranch, Creede, CO, USA
H66A|IRISDMC|TA|44.7859|-67.311501|15.180011919380727|71.78210701926106|55|Whiting, ME, USA
959A|IRISDMC|TA|27.524|-80.879097|15.375580219957385|156.13774329875523|23|Okeechobee, FL, USA
O20A|IRISDMC|TA|40.1348|-108.2416|15.468082777579337|-89.41522947546795|1915|White River City, CO, USA
058A|IRISDMC|TA|27.0569|-81.804901|15.558988327254372|159.61858155278733|15|Arcadia, FL, USA
059A|IRISDMC|TA|26.9671|-81.143997|15.824013809285448|157.64620081059138|11|Moore Haven, FL, USA
RLMT|IRISDMC|US|45.1221|-109.2673|15.858895596450026|-70.71081870857888|2086|Red Lodge, Montana, USA
060A|IRISDMC|TA|27.0361|-80.361801|15.992362019631695|155.16582969675693|9|Indiantown, FL, USA
BW06|IRISDMC|US|42.7667|-109.5583|16.06006025937759|-79.28743454543716|2224|Boulder Array Site 6 (Pinedale Array Site 6), Wyoming, USA
ANMO|IRISDMC|IU|34.94591|-106.4572|16.093772404167613|-109.14989041616474|1820|Albuquerque, New Mexico, USA
059Z|IRISDMC|TA|26.337299|-81.443199|16.341688276829036|159.26146989533126|8|Ave Maria, FL, USA
833A|IRISDMC|TA|28.323601|-99.393898|16.44648031006297|-141.4289787524696|171|Chaparral WMA, Artesia Wells, TX, USA
KVTX|IRISDMC|US|27.5459|-97.8929|16.467329149649288|-146.85687322345595|14.6|Kingsville, Texas, USA
060Z|IRISDMC|TA|26.4062|-80.556|16.525178770112905|156.51654782948873|9|West Palm Beach, FL, USA
MVCO|IRISDMC|US|37.19956|-108.49251|16.55288485057398|-99.34638449368444|2169.9|Mesa Verde, Colorado, USA
LKWY|IRISDMC|US|44.5652|-110.4|16.63173959951649|-72.84980118855772|2424|Lake (Yellowstone--Lake), Yellowstone National Park, Wyoming
EGMT|IRISDMC|US|48.024|-109.7547|16.651411404993436|-60.65153835498869|1055|Eagleton, Montana, USA
H17A|IRISDMC|TA|44.3951|-110.576202|16.753751570702917|-73.45132065531044|2400|Grant Village (NPS), Yellowstone Nt. Park, WY, USA
TVZX|IRISDMC|TA|34.073299|-106.919601|16.877965002975543|-111.05361643786156|0|PASSCAL Warehouse
Y22D|IRISDMC|TA|34.0739|-106.921|16.878611776864386|-111.04971099033554|1436|IRIS PASSCAL Instrument Center, Socorro, NM, USA
061Z|IRISDMC|TA|25.8657|-80.906998|16.936496655549284|158.15434848815482|9|Ochoppi, FL, USA
AHID|IRISDMC|US|42.7654|-111.1004|17.188934380966785|-78.98920080609432|1960|Auburn Hatchery, Idaho, USA
MNTX|IRISDMC|US|31.6985|-105.3821|17.26914021739304|-120.17243384889095|404.8|Cornudas Mountains, Texas, USA
BOZ|IRISDMC|US|45.59697|-111.62967|17.549109609526315|-69.48516177364637|1589|Bozeman, Montana, USA
HWUT|IRISDMC|US|41.6069|-111.5652|17.666279178496232|-82.69744371278917|1830|Hardware Ranch, Cache County, Utah, USA
062Z|IRISDMC|TA|24.726601|-81.052299|17.985522182460564|159.69803482384106|5|Marathon, FL, USA
121A|IRISDMC|TA|32.532398|-107.785103|18.347052455547608|-113.89803398151466|1652|Cookes Peak, Deming, NM, USA
W18A|IRISDMC|TA|35.118099|-109.735703|18.350660702363953|-104.19477103739915|1750|Petrified Forest, AZ, USA
DUG|IRISDMC|US|40.195|-112.8133|18.85942083491736|-86.55539180653648|1477|Dugway, Tooele County, Utah, USA
MSO|IRISDMC|US|46.8292|-113.9406|19.24543277591623|-66.01386976901053|1264|Missoula, Montana, USA
WUAZ|IRISDMC|US|35.5169|-111.3739|19.36072583086335|-101.21668184371286|1592|Wupatki, Arizona, USA
HLID|IRISDMC|US|43.5625|-114.4138|19.537751457359096|-75.87555910699945|1772|Hailey, Idaho, USA
ELK|IRISDMC|US|40.7448|-115.2388|20.541062549974395|-83.77180263367605|2210|Elko, Nevada, USA
TUC|IRISDMC|IU|32.3098|-110.7847|20.54825136222334|-110.07444376699361|910|Tucson, Arizona
BBSR|IRISDMC|IU|32.371299|-64.696299|20.633898169362155|109.69971213383148|30|Bermuda Institute of Ocean Sciences, St George's Bermuda
R11A|IRISDMC|TA|38.3489|-115.585403|21.424176839917433|-90.04023195894024|1756|Troy Canyon, Currant, NV, USA
