Station|Source|Net|Latitude|Longitude|Distance|Azimuth|Elevation|Station Name
L44A|IRISDMC|TA|42.1782|-87.911903|0.3702329370009542|-9.889283835862631|202|Ryerson Woods, Lake Cnty Forest Preserve, IL, USA
M44A|IRISDMC|TA|41.388199|-88.043198|0.455231674197953|-159.03530897237903|207|Midewin, Midewin Nat. Tallgrass Prarie, IL, USA
K43A|IRISDMC|TA|42.704399|-88.332001|0.9663767867488421|-22.626102051641222|264|Burlington, WI, USA
L46A|IRISDMC|TA|42.012699|-86.295502|1.1562787928804572|79.5693168053712|223|Eue Claire, MI, USA
L42A|IRISDMC|TA|42.004002|-89.667|1.3831684947095646|-81.46955984303341|257|Oliver, Polo, IL, USA
SFIN|IRISDMC|TA|40.379002|-87.096703|1.5361891548619662|158.793407307744|165|Lafayette, IN, USA
HDIL|IRISDMC|US|40.5559|-89.294|1.6738552011902277|-138.21712084806921|219.4|Hopedale, Illinois, USA
M47A|IRISDMC|TA|41.359402|-85.621399|1.7103412928360677|104.66263148416631|283|Cromwell, IN, USA
O44A|IRISDMC|TA|40.152599|-88.467102|1.7299397894007402|-163.54587804823504|213|Mansfield, IL, USA
K46A|IRISDMC|TA|42.686401|-85.783401|1.74584366342172|59.318304505659604|213|Dorr, MI, USA
N47A|IRISDMC|TA|40.8801|-85.694199|1.8526806212481208|119.54347537402155|252|Urbana, IN, USA
J45A|IRISDMC|TA|43.435398|-86.388901|1.9361234300671688|32.620536228655965|209|Montague, MI, USA
JFWS|IRISDMC|US|42.9142|-90.2481|2.100841864108409|-57.59389089737945|335|Near Bowden and Sunny Slope Rds, Wisconsin, USA
J46A|IRISDMC|TA|43.347801|-85.646599|2.220101052584535|45.55378942127286|275|Howard City, MI, USA
I42A|IRISDMC|TA|43.8908|-88.913399|2.224927664275499|-20.62485144800648|298|Draeger Farm, Ripon, WI, USA
P46A|IRISDMC|TA|39.617802|-87.206703|2.2453083058991465|167.72807878231794|194|Rosedale, IN, USA
K47A|IRISDMC|TA|42.670399|-84.999298|2.2612067003102885|66.7864641912428|275|Vremontville, MI, USA
N48A|IRISDMC|TA|40.8591|-85.0271|2.308019287300074|113.49503964322274|250|Decatur, IN, USA
M48A|IRISDMC|TA|41.4846|-84.717102|2.3461661848179487|97.0229747117104|258|Edgerton, OH, USA
I45A|IRISDMC|TA|44.036098|-86.234802|2.5093901149525926|27.127347933397065|215|Fountain, MI, USA
P43A|IRISDMC|TA|39.6409|-89.521301|2.5238594489342643|-148.84756090333943|176|Skaggs, Pawnee, IL, USA
L48A|IRISDMC|TA|41.943802|-84.432899|2.5296346298736796|85.91567345923971|369|N Adams, MI, USA
N41A|IRISDMC|TA|40.707699|-90.855202|2.531126898653192|-114.8981464961794|226|Harden Midland Farm, Stronghurst, IL, USA
L40A|IRISDMC|TA|42.062801|-91.221802|2.538051200508704|-83.23012907848191|242|Anamosa, IA, USA
O48A|IRISDMC|TA|40.257099|-85.155296|2.5455587875902523|126.8054812993421|300|Farmland, IN, USA
J47A|IRISDMC|TA|43.238201|-84.821404|2.6328387551609045|56.23428958593218|236|Sumner, MI, USA
H43A|IRISDMC|TA|44.4697|-87.770401|2.6565107019442062|0.8576258288683853|274|Windswept, Luxemburg, WI, USA
I41A|IRISDMC|TA|44.0592|-89.869698|2.698233378965207|-32.98081195123546|289|Arkdale, WI, USA
I46A|IRISDMC|TA|43.941101|-85.447197|2.7503256338367716|38.526230372206165|359|Reed City, MI, USA
BLO|IRISDMC|NM|39.1719|-86.5222|2.821480186973136|158.99896723861733|246|Bloomington, IN
N49A|IRISDMC|TA|40.922001|-84.182503|2.8758354922775697|106.84707734098357|225|Columbus Grove, OH, USA
M49A|IRISDMC|TA|41.474499|-83.975197|2.897380622193007|95.43630434453958|203|Liberty Center, OH, USA
K48A|IRISDMC|TA|42.8032|-84.119698|2.913895148451799|68.90568046238945|273|Perry, MI, USA
P48A|IRISDMC|TA|39.460499|-85.425797|2.975343959923558|141.4684802110314|300|Milroy, IN, USA
L49A|IRISDMC|TA|42.108799|-83.767197|3.0323129627983416|83.05705151829397|230|Milan, MI, USA
OLIL|IRISDMC|NM|38.7338|-88.0991|3.086730257410424|-176.04205896981188|150|Olney Central College  Olney, IL
H45A|IRISDMC|TA|44.623199|-86.043999|3.095116437812272|24.200985419242773|242|Beulah, MI, USA
O49A|IRISDMC|TA|40.188|-84.335297|3.0952319839870777|120.52047651025417|292|Covington, OH, USA
AAM|IRISDMC|US|42.3012|-83.6567|3.1335206085024234|79.65414391477726|172|Ann Arbor, Michigan, USA
P49A|IRISDMC|TA|39.534199|-84.7164|3.279447450162453|132.99907906174485|272|Miami Univ. Ecology Research Center, OH, USA
I47A|IRISDMC|TA|44.019299|-84.509598|3.2804572902611207|46.635339629425424|269|Gladwin, MI, USA
Q48A|IRISDMC|TA|38.929501|-85.731102|3.2959293621197894|150.3544338436717|185|North Vernon, IN, USA
J48A|IRISDMC|TA|43.298599|-83.784897|3.3261864073404928|62.12906960549788|195|Bridge Port, MI, USA
H46A|IRISDMC|TA|44.5397|-85.2034|3.329773175436772|34.16166952504879|329|Fife Lake, MI, USA
K49A|IRISDMC|TA|42.783501|-83.455597|3.3745634221486367|71.83407708457804|336|Clarkson, MI, USA
O50A|IRISDMC|TA|40.146801|-83.619904|3.585646327306736|116.30279431057726|399|Cable, OH, USA
Q49A|IRISDMC|TA|39.005001|-84.895599|3.5865180008892468|140.57336549842836|264|Aurora, IN, USA
G45A|IRISDMC|TA|45.040401|-85.657097|3.5905036360960767|25.279566109746217|284|Suttons Bay, MI, USA
M50A|IRISDMC|TA|41.4035|-83.042801|3.599414126465782|94.94728422113738|176|Fremont, OH, USA
N50A|IRISDMC|TA|40.771099|-83.148598|3.6652247026633367|104.96778074949883|277|Nevada, OH, USA
SLM|IRISDMC|NM|38.6361|-90.2364|3.671464287655422|-149.13571191323962|186|St. Louis, MO
L50A|IRISDMC|TA|42.042999|-82.809502|3.7387688892732514|84.80688138264925|187|Kingsville, ON, CAN
P50A|IRISDMC|TA|39.608601|-83.798798|3.7650230404018377|124.51267897928622|318|Jamestown, OH, USA
WCI|IRISDMC|IU|38.2289|-86.2939|3.7715670676729838|161.37817499977692|210|Wyandotte Cave, Indiana, USA
J49A|IRISDMC|TA|43.360001|-83.138901|3.780904860111646|64.2871780190857|253|Marlette, MI, USA
GLMI|IRISDMC|US|44.8245|-84.6175|3.809236406192853|36.695374195356564|387|Grayling, Michigan, USA
H47A|IRISDMC|TA|44.5994|-84.2062|3.8362624857001877|42.216219050290064|356|Mio, MI, USA
I48A|IRISDMC|TA|44.187302|-83.702202|3.837280229684394|50.4020010854601|192|Sherman Twp, MI, USA
USIN|IRISDMC|NM|37.965|-87.666|3.850457756449336|178.1200547702901|170.7|Univ. of Southern Indiana, Evansville, IN
G40A|IRISDMC|TA|45.268398|-90.2006|3.859459917481548|-25.670962259008196|472|Rib Lake, WI, USA
F42A|IRISDMC|TA|45.758701|-88.134697|3.9514769745435214|-3.1258626013459505|358|Maple Grove Farm, Niagara, WI, USA
K50A|IRISDMC|TA|42.774899|-82.6231|3.9661836198812086|74.2325227493175|191|Casco, MI, USA
ACSO|IRISDMC|US|40.2319|-82.982|3.981403193615018|111.79780163812364|288|Alum Creek State Park, Ohio, USA
SCIA|IRISDMC|US|41.9069|-93.2153|4.014168948762761|-86.8690634713118|311.5|State Center, Iowa, USA
R49A|IRISDMC|TA|38.291599|-85.171402|4.065544651506886|149.15313347657988|251|Shelbyville, KY, USA
G46A|IRISDMC|TA|45.3176|-84.862099|4.109184124555606|30.491978057945676|239|Petoskey, MI, USA
Q50A|IRISDMC|TA|38.843601|-83.978996|4.173046003502943|134.10034224454628|262|Georgetown, OH, USA
N51A|IRISDMC|TA|40.918301|-82.374802|4.18722389990002|100.53108982635204|343|Ashland, OH, USA
F45A|IRISDMC|TA|45.683701|-85.515602|4.2142689547785475|22.53598588236133|173|CMU Biological Station, Beaver Island, MI, USA
G39A|IRISDMC|TA|45.286701|-91.1698|4.234220874859762|-33.76451376672938|350|Holcombe, WI, USA
SIUC|IRISDMC|NM|37.7148|-89.2174|4.23575060021748|-164.92700660702093|120|Carbondale, IL
I49A|IRISDMC|TA|43.939999|-82.8246|4.2362918057983885|58.19302325402814|217|Point Hope, MI, USA
M51A|IRISDMC|TA|41.3321|-82.183098|4.2481749049629025|94.62711528728646|239|Elyria, OH, USA
S44A|IRISDMC|TA|37.6936|-89.255096|4.263672828425297|-164.6078693059368|155|Carbondale, IL, USA
